animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,predicted,probability,correct?
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999291570906631,CORRECT
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999994930158,CORRECT
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,0.9999999999999677,CORRECT
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999291570906631,CORRECT
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,1,0.9999999999961744,CORRECT
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2,0.9999999999571932,CORRECT
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0.9999999999976645,CORRECT
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,2,0.9999999999994976,CORRECT
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,6,0.9412961227627381,CORRECT
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,1,0.999999999982809,CORRECT
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0.9999999999976645,CORRECT
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,1,0.9999999999999952,CORRECT
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,2,0.9999999757540885,CORRECT
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,6,0.9412961422461044,CORRECT
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2,0.9999999999880942,CORRECT
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1,0.9999992077440267,CORRECT
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,6,0.9999999998938016,CORRECT
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1,0.9999992077440267,CORRECT
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2,0.9999999999571932,CORRECT
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2,0.9999999999880942,CORRECT
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,3,0.9999935703852679,CORRECT
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0.9999999999681238,CORRECT
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,0.9615497304457097,CORRECT
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,7,0.9999999729668457,CORRECT
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,4,0.9997243473151377,CORRECT
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,2,0.9999999999998386,CORRECT
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,6,0.9412961227627381,CORRECT
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,2,0.520951790383829,WRONG
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,0.9615497304457097,CORRECT
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2,0.9999999999880942,CORRECT
